0,0,0,0,0,0,-1
1,妈妈,0,1,0,4,-1
2,吸尘器,1,1,10,11|20,8
3,树枝,1,1,11,12,10
4,火焰,1,1,8,9,0
5,钟表,0,0,0,23,-1
6,咖啡杯（水）,2,1,18,7,-1
7,咖啡杯（咖啡）,0,1,0,24,-1
8,篝火（灭）,3,1,4,9,-1
9,篝火（亮）,3,1,12,13,-1
10,双鱼座,2,1,2,11|20,-1
11,鱼,1,1,3,12,1
12,鱼串（生）,1,1,9,13,2
13,鱼串（熟）,1,1,14,18,3
14,猫,3,1,13,18,-1
15,红狼眼睛,0,0,0,16,-1
17,毛线,1,1,27,19,17
18,猫屎咖啡豆,1,1,6,7,9
19,针线,1,1,20,20,18
20,黑洞,3,1,19,22,-1
21,操作台,0,3,22|23|24,0,-1
22,钥匙1,1,0,21,0,11
23,钥匙2,1,0,21,0,12
24,钥匙3,1,0,21,0,13
25,铁棒,1,1,0,0,15
26,石头,3,1,25,27,14
27,铁针,1,1,17,19,16
